SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,8,8,,8,,8,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221192,0,0,"SMP, Suppot Pillar Front-Mi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.5,166.5,1853.5,3.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,3,,3,,3,0,MS ,3,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221193,B,0,"SMP, Suppot Pillar Rear-Mi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.5,117.5,1853.5,2.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-1,Clinch Nut M8-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,2,,2,,2,0,MS ,2,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221194,B,0,"SMP,BK PNL FRNT COV80-120KVA INT TRX",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,352,1852,6.14,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,801221195,0,0,"SMP, L-Clamp",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,3.0,105.5,750.0,1.9,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,2,0,0,Y,0,0,0,0,,,,
0,801221197,B,0, Support piller Front right ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,1855.0,244.5,5.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,2,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M4-10,StudM4X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221198,B,0,Support pillar right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,1855.0,244.5,5.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,2,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M4-10,StudM4X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221199,B,0,Resister Fixture plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,50.0,704.0,0.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,8,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221201,A,0,Front cover plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,EN327N,SGCC,1,1.5,1967.0,199.5,4.6,0.78,0.17,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,6,0,0,Y,Y,0,0,0,,,,
0,801221202,A,0,TOP COVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,180.4,829.0,1.8,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
0,801221203,A,0,Bottom plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,840.0,173.5,1.7,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
0,,,801221203-part2,Bottom plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.5,650.0,72.5,0.6,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,2,N,0,0,0,0,0,0,,,,
0,,,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,5,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221205,B,0,CONTACTOR MOUNT PLATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,210.0,225.0,0.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221206,B,0,"SMP, Front Cov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,829.0,1832.0,14.3,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,801221206-part2,"SMP, Front Cov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.2,170.0,170.0,0.3,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,801221207,A,0,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,40.0,336.0,0.3,0,0,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,1,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221208,A,0,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,70.0,336.0,0.6,0,0,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,1,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,6,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,8,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221209,A,0,Contactor mount plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,182.0,180.0,0.8,0,0,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,3.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221210,A,0,Termination plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,25.0,306.0,0.1,0,0,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
0,801221211,B,0,Support plate,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,2,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,#N/A,0,,,1,1,1,1,1,1,1,0,SGCC,1,1.5,164.5,1864.5,3.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-1,Clinch Nut M8-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,2,2,2,2,2,0,MS ,2,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221212,A,0,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,580.0,1017.0,9.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,Y,0,Y,0,0,0,0,,,,
0,,,801221212-part2,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,3,2.0,710.0,30.0,0.3,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,8,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,15,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221213,A,0,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,780.0,500.0,6.1,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,0,Y,0,Y,0,0,0,0,,,,
0,,,801221213-part2,Resistor Mount Plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,3,2.0,710.0,30.0,0.3,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,16,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,15,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221218,A,0,"SMP, Transformer mounting plate for 100-115KVA cu TRX",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,#N/A,0,,,,,,,,2,,0,SGCC,1,3.00,850.00,182.00,1.3,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801222001,A,0,"SMP, PLATE, CONDUIT ENTRY ALUMINIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,aluminium,1,3.0,376.0,633.0,1.9,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
0,801221299,A,0,Rear Cover(Down 60-80) 1392S EATON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,538.0,702.6,3.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,PART NO CHAGED FROM s140440-373001-00 (SUB PART REMOVED),0,1,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,9,1.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,s150257-373002-00,0,0,Support Plate(O-TR-R) 1392S EATON,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,157.0,590.0,2.2,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
0,,,SE-S M8-3,Clinch Nut M8-3.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,3.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,s150257-373003-00,0,0, FRONT PANEL(FAN-CVER) 1392S EATON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,589.2,679.4,3.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M4-10,StudM4X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,1.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,1,1.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
64,801221235,3,0,"SMP, SUPPORT PLATE 200KVA (373-53895)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,162.00,883.60,2.25,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,10,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-22,Stand Off M3X22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,7,7,,7,,7,0,MS,7,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221223,A,0,"SMP SUPPORT PILLAR,200MBS, 373-53880  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,157.00,1854.50,3.43,0,0,Assembly,Sheet Metal,0,Wire Rack Parts,0,0,Y,6,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8,8,,8,,8,0,MS,8,1.00,0.00,0.00,0.00,0,0,Sub Parts,Fastener,0,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221224,A,0,"SMP BREAK MOUNT PLATE, NEUTRAL,200MBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,304.30,543.00,2.59,0,0,Assembly,Sheet Metal,0,Wire Rack Parts,0,0,N,4,Y,0,Y,0,0,0,0,,,,
0,,,801221224-PT2,"SMP BREAK MOUNT PLATE, NEUTRAL,200MBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.50,80.00,267.00,0.25,0,0,Sub Parts,Sheet Metal,0,Wire Rack Parts,0,0,N,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M5-2,Clinch Nut M5-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0,0,Sub Parts,Fastener,0,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,1.00,0.00,0.00,0.00,0,0,Sub Parts,Fastener,0,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
